trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.475, 'e': 0.95}",30,4,-188.03974403143104,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 3}",1
2,False,"{'a': 0.44999999999999996, 'e': 0.8999999999999999}",25,12,-39.61449273238139,"{0: 9, 1: 1, 2: 1, 3: 2, 4: 0}",1
3,False,"{'a': 0.42499999999999993, 'e': 0.8499999999999999}",25,0,-107.07684430944114,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
4,False,"{'a': 0.3999999999999999, 'e': 0.7999999999999998}",20,0,-91.98907820715507,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
5,False,"{'a': 0.3749999999999999, 'e': 0.7499999999999998}",25,0,-54.526895684738136,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.34999999999999987, 'e': 0.6999999999999997}",20,0,-61.969070276882604,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",0
7,False,"{'a': 0.32499999999999984, 'e': 0.6499999999999997}",25,0,-87.89436106757957,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
8,False,"{'a': 0.2999999999999998, 'e': 0.5999999999999996}",25,0,-91.88935277165719,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.2749999999999998, 'e': 0.5499999999999996}",20,0,-108.49038700867995,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 2}",0
10,False,"{'a': 0.2499999999999998, 'e': 0.4999999999999996}",30,0,-73.01161862473413,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.2249999999999998, 'e': 0.4499999999999996}",20,0,-35.40725886026377,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
12,False,"{'a': 0.19999999999999982, 'e': 0.39999999999999963}",20,0,-34.00150076870757,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
13,False,"{'a': 0.17499999999999982, 'e': 0.34999999999999964}",20,0,-71.57069673423287,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
14,False,"{'a': 0.14999999999999983, 'e': 0.29999999999999966}",25,0,-58.36269106863426,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
15,False,"{'a': 0.12499999999999983, 'e': 0.24999999999999967}",20,0,-94.56046220972598,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",0
16,False,"{'a': 0.09999999999999984, 'e': 0.19999999999999968}",25,17,2.3708375146066216,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.07499999999999984, 'e': 0.1499999999999997}",20,0,-9.951919122224368,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.04999999999999984, 'e': 0.09999999999999969}",20,0,-6.791925404337476,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
19,False,"{'a': 0.024999999999999842, 'e': 0.049999999999999684}",20,9,-5.048054140165812,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
20,False,"{'a': -1.5959455978986625e-16, 'e': -3.191891195797325e-16}",25,0,32.24509429092702,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,1,-33.9417045457099,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",25,0,25.951309596506974,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",20,0,25.683524328338976,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,16.402148333954653,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,-65.66415787250016,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,15,2.096973233192937,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,0,14.686406581926708,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,0,29.591301652915945,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",30,0,-1.9255861782019255,"{0: 27, 1: 1, 2: 1, 3: 1, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,9.025480613060584,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
