trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999987675502532}",30,0,-102.07075598871127,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.9999950702040505}",25,0,-136.05010637955723,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9999889079705055}",25,15,-5.473324631352613,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.9999802808648077}",25,17,-48.746754373673575,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.9999691889082218}",20,0,-92.24493954577756,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9999556321280886}",25,5,-41.21927381933705,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.9999396105578239}",30,0,-199.38905534208988,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 5}",0
8,False,"{'a': 0.5, 'e': 0.9999211242369195}",20,2,7.1133409086852115,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.9999001732109422}",30,0,-83.84347855507025,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9998767575315342}",25,13,-2.3824015396102545,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.9998508772564129}",20,0,-97.56284290836601,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9998225324493704}",25,0,-115.95996869550791,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9997917231802739}",25,0,-172.1367009308596,"{0: 14, 1: 0, 2: 5, 3: 5, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9997584495250651}",35,0,-186.26704312468908,"{0: 25, 1: 0, 2: 4, 3: 3, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.9997227115657603}",25,0,-81.48947765106062,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",1
16,False,"{'a': 0.5, 'e': 0.99968450939045}",20,0,-245.1461242936034,"{0: 11, 1: 0, 2: 2, 3: 2, 4: 5}",0
17,False,"{'a': 0.5, 'e': 0.9996438430932985}",25,0,-21.54075371418629,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9996007127745443}",30,0,-76.10405654880338,"{0: 25, 1: 1, 2: 2, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9995551185404994}",25,0,-6.022380318951703,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9995070605035489}",30,0,-92.94773580459177,"{0: 23, 1: 3, 2: 1, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.999456538782151}",30,0,-61.46606622262535,"{0: 22, 1: 1, 2: 6, 3: 1, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.9994035535008366}",25,0,-51.02458396512126,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.9993481047902093}",25,0,-133.23126413830363,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
