trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-199.24276335303995,"{0: 19, 1: 2, 2: 5, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-195.5202219166483,"{0: 11, 1: 3, 2: 1, 3: 1, 4: 4}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-208.0543575290352,"{0: 13, 1: 2, 2: 4, 3: 3, 4: 3}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-148.15472772877766,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-161.89187122792066,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-179.54261231630656,"{0: 16, 1: 3, 2: 8, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-141.83316945774598,"{0: 15, 1: 5, 2: 9, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-178.9998660326829,"{0: 15, 1: 1, 2: 5, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-181.61976773444815,"{0: 9, 1: 0, 2: 7, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-185.3088651887485,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",35,0,-254.24145886022433,"{0: 22, 1: 2, 2: 3, 3: 4, 4: 4}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-221.90712957812036,"{0: 14, 1: 4, 2: 9, 3: 0, 4: 3}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,5,-46.74773257510707,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-130.82100562580715,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-54.04152038352136,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-196.77554994554097,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-85.37812362124222,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-67.45592518017725,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-197.7436574829831,"{0: 17, 1: 2, 2: 7, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-101.45323418461352,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-77.88843093260421,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-139.4579346748374,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-9.286176282454214,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-77.63102304580691,"{0: 13, 1: 2, 2: 2, 3: 3, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-105.61080640337714,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",35,0,-269.68456487176707,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 6}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-40.23206185817436,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-142.67694371835714,"{0: 10, 1: 6, 2: 7, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-156.16281332406072,"{0: 15, 1: 5, 2: 7, 3: 2, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-127.28026472455463,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
